#OTU ID	Pseudomonadota	Actinomycetota	Chloroflexota	Bacillota	Cyanobacteriota	Candidatus Melainabacteria	Deinococcota	Armatimonadota	Mycoplasmatota	Thermomicrobiota	Candidatus Kaiserbacteria	Candidatus Nomurabacteria	Candidatus Yanofskybacteria	Candidatus Azambacteria	Candidatus Falkowbacteria	Candidatus Magasanikbacteria	Candidatus Nealsonbacteria	Candidatus Uhrbacteria	Candidatus Moranbacteria	Candidatus Zambryskibacteria	Candidatus Staskawiczbacteria	Candidatus Wolfebacteria	Candidatus Buchananbacteria	Candidatus Portnoybacteria	Candidatus Adlerbacteria	Candidatus Liptonbacteria	Candidatus Ryanbacteria	Candidatus Wildermuthbacteria	Candidatus Komeilibacteria	Candidatus Kerfeldbacteria	Candidatus Terrybacteria	Candidatus Yonathbacteria	Candidatus Colwellbacteria	Candidatus Woesebacteria	Candidatus Gottesmanbacteria	Candidatus Roizmanbacteria	Candidatus Levybacteria	Candidatus Daviesbacteria	Candidatus Curtissbacteria	Candidatus Beckwithbacteria	Candidatus Amesbacteria	Candidatus Collierbacteria	Candidatus Gracilibacteria	candidate division NC10	Candidatus Rokubacteria	Candidatus Handelsmanbacteria	Candidatus Schekmanbacteria	Candidatus Aminicenantes	Candidatus Glassbacteria	candidate division WWE3	Candidatus Peregrinibacteria	Candidatus Doudnabacteria	Candidatus Berkelbacteria	Candidatus Saccharibacteria	Candidatus Eisenbacteria	Candidatus Lindowbacteria	Candidatus Ratteibacteria	Candidatus Firestonebacteria	Candidatus Wallbacteria	Candidatus Blackallbacteria	Candidatus Fischerbacteria	Candidatus Absconditabacteria	Planctomycetota	Candidatus Omnitrophica	Verrucomicrobiota	Lentisphaerota	Chlamydiota	Kiritimatiellota	Thermodesulfobacteriota	Nitrospirota	Campylobacterota	Bacteroidota	Ignavibacteriota	Chlorobiota	Gemmatimonadota	candidate division Zixibacteria	Fibrobacterota	Elusimicrobiota	Acidobacteriota	Myxococcota	Nitrospinota	Candidatus Tectomicrobia	Spirochaetota	Bdellovibrionota	Synergistota	Caldisericota	Fusobacteriota	Thermotogota	Atribacterota	Aquificota	Deferribacterota	Nitrososphaerota	Candidatus Bathyarchaeota	Thermoproteota	Euryarchaeota	Candidatus Micrarchaeota	Candidatus Diapherotrites	Candidatus Thermoplasmatota	Candidatus Heimdallarchaeota
Candidatus Kaiserbacteria	0.0022	0.0027	-0.0029	-0.0038	-0.0041	0.0016	0.0003	-0.0008	0.0008	-0.0010	1.0000	-0.0030	-0.0039	-0.0003	-0.0037	-0.0027	-0.0017	-0.0025	-0.0004	-0.0039	-0.0013	0.0006	-0.0013	0.0002	-0.0001	-0.0006	0.0006	0.0012	-0.0036	-0.0002	-0.0008	-0.0013	0.0019	-0.0013	0.0029	-0.0034	-0.0030	-0.0045	-0.0016	0.0014	0.0023	-0.0020	-0.0001	0.0025	-0.0024	-0.0003	0.0002	-0.0022	0.0008	-0.0022	0.0041	-0.0001	-0.0013	-0.0038	-0.0027	-0.0013	0.0001	-0.0016	0.0001	-0.0019	-0.0025	-0.0011	0.0057	0.0005	-0.0017	-0.0027	-0.0044	-0.0033	0.0028	0.0022	0.0017	-0.0004	-0.0013	-0.0043	-0.0005	0.0004	-0.0026	0.0015	-0.0008	-0.0021	0.0006	0.0013	0.0007	-0.0024	0.0023	0.0005	-0.0066	-0.0058	-0.0006	0.0001	-0.0018	-0.0044	-0.0019	0.0013	-0.0042	-0.0029	-0.0010	-0.0032	-0.0037
Candidatus Nomurabacteria	-0.0013	-0.0045	-0.0001	0.0021	-0.0002	-0.0038	0.0008	-0.0051	0.0025	-0.0044	-0.0030	1.0000	0.0024	-0.0024	-0.0020	-0.0006	0.0005	-0.0017	-0.0025	-0.0007	0.0017	-0.0013	0.0016	-0.0048	-0.0008	-0.0004	0.0010	-0.0004	0.0018	-0.0029	-0.0016	-0.0040	0.0014	0.0047	-0.0037	0.0011	0.0005	-0.0008	-0.0004	-0.0052	-0.0021	0.0014	-0.0021	-0.0003	-0.0023	-0.0009	-0.0021	-0.0019	-0.0024	0.0006	-0.0003	-0.0030	0.0010	-0.0031	0.0056	-0.0047	-0.0010	0.0003	-0.0009	-0.0041	0.0008	0.0009	-0.0004	-0.0021	-0.0031	0.0024	0.0011	-0.0015	-0.0046	-0.0006	0.0029	0.0015	-0.0033	0.0013	-0.0019	-0.0020	-0.0024	0.0003	-0.0010	0.0036	-0.0003	0.0016	0.0000	-0.0051	0.0005	0.0040	0.0017	-0.0040	-0.0017	0.0002	-0.0019	0.0003	-0.0001	0.0014	-0.0047	-0.0037	-0.0029	-0.0016	0.0019
Candidatus Yanofskybacteria	0.0051	-0.0008	-0.0050	-0.0001	-0.0001	0.0032	0.0014	-0.0001	-0.0021	-0.0003	-0.0039	0.0024	1.0000	-0.0029	-0.0016	-0.0032	0.0021	0.0011	-0.0037	0.0004	-0.0032	-0.0002	-0.0050	-0.0053	0.0002	0.0000	-0.0005	-0.0048	-0.0023	0.0002	-0.0020	0.0001	-0.0028	-0.0071	0.0025	0.0037	-0.0029	-0.0035	-0.0020	0.0028	-0.0021	-0.0025	-0.0008	0.0000	-0.0017	0.0028	0.0000	0.0007	0.0003	-0.0007	-0.0022	-0.0029	0.0051	0.0018	-0.0015	-0.0039	-0.0004	-0.0020	-0.0020	-0.0014	-0.0004	-0.0014	-0.0058	-0.0050	-0.0028	-0.0013	0.0011	-0.0011	0.0014	-0.0020	-0.0004	0.0005	-0.0002	-0.0057	0.0016	-0.0061	-0.0008	0.0009	-0.0030	-0.0020	0.0011	-0.0026	0.0024	0.0013	-0.0015	-0.0042	-0.0039	-0.0021	-0.0007	-0.0036	-0.0020	-0.0003	-0.0019	-0.0038	-0.0036	-0.0015	0.0016	0.0000	-0.0017
Candidatus Azambacteria	-0.0024	-0.0014	0.0014	-0.0012	0.0004	-0.0042	-0.0011	0.0012	0.0006	0.0015	-0.0003	-0.0024	-0.0029	1.0000	-0.0016	-0.0007	-0.0014	0.0049	-0.0038	0.0046	0.0016	-0.0016	0.0008	0.0039	-0.0028	0.0006	-0.0024	-0.0015	-0.0042	0.0038	-0.0049	-0.0009	0.0033	-0.0001	-0.0023	-0.0023	0.0014	0.0019	0.0005	-0.0072	-0.0053	-0.0026	-0.0052	0.0032	-0.0002	0.0034	-0.0011	-0.0023	-0.0021	-0.0045	0.0001	-0.0032	-0.0023	0.0015	0.0001	-0.0005	0.0021	-0.0010	-0.0017	0.0025	-0.0011	-0.0041	0.0018	0.0018	-0.0054	-0.0013	-0.0036	-0.0020	-0.0003	-0.0009	-0.0041	-0.0006	-0.0006	-0.0006	-0.0020	0.0001	-0.0005	-0.0037	-0.0016	-0.0015	0.0039	-0.0005	0.0017	0.0012	-0.0006	-0.0015	-0.0012	0.0022	-0.0032	0.0004	0.0001	0.0000	-0.0022	-0.0051	-0.0026	-0.0030	0.0046	-0.0043	0.0005
Candidatus Falkowbacteria	0.0011	-0.0047	0.0038	0.0023	-0.0023	-0.0035	0.0019	0.0001	-0.0027	0.0009	-0.0037	-0.0020	-0.0016	-0.0016	1.0000	-0.0013	0.0004	-0.0051	0.0012	0.0001	0.0024	0.0047	0.0023	0.0031	-0.0036	-0.0018	-0.0043	-0.0001	-0.0011	-0.0030	-0.0028	0.0003	0.0011	-0.0019	-0.0004	-0.0007	-0.0010	-0.0009	0.0021	-0.0007	-0.0030	-0.0044	0.0004	0.0013	-0.0044	-0.0003	-0.0014	-0.0007	0.0019	-0.0016	0.0017	0.0005	-0.0015	0.0003	-0.0006	-0.0011	-0.0054	-0.0035	-0.0001	-0.0047	-0.0024	-0.0020	-0.0045	0.0008	-0.0017	0.0003	0.0015	-0.0045	0.0005	-0.0037	-0.0002	-0.0046	-0.0006	-0.0025	-0.0015	0.0015	-0.0019	-0.0030	0.0017	0.0014	0.0004	0.0034	0.0007	-0.0029	-0.0034	-0.0043	0.0001	-0.0023	0.0006	-0.0020	-0.0014	-0.0027	-0.0033	-0.0007	-0.0010	-0.0017	-0.0055	0.0023	-0.0001
Candidatus Magasanikbacteria	-0.0026	0.0012	-0.0005	-0.0006	-0.0033	0.0018	-0.0042	-0.0017	-0.0023	-0.0027	-0.0027	-0.0006	-0.0032	-0.0007	-0.0013	1.0000	-0.0054	-0.0016	0.0026	-0.0016	-0.0025	-0.0005	0.0025	-0.0061	-0.0030	-0.0002	0.0004	-0.0037	-0.0024	-0.0059	-0.0057	-0.0044	-0.0013	-0.0007	0.0015	-0.0000	0.0010	-0.0021	-0.0046	0.0032	0.0004	0.0004	-0.0002	0.0000	-0.0020	0.0009	0.0011	-0.0027	-0.0049	-0.0009	0.0004	-0.0031	0.0057	0.0014	-0.0031	0.0003	-0.0022	-0.0057	0.0043	-0.0052	0.0002	0.0004	-0.0056	0.0025	-0.0017	-0.0010	-0.0033	0.0004	-0.0025	0.0033	0.0021	-0.0016	0.0014	-0.0028	-0.0071	0.0019	0.0042	-0.0032	0.0016	-0.0019	-0.0020	-0.0046	-0.0031	-0.0015	-0.0015	-0.0019	-0.0003	-0.0030	-0.0003	0.0006	-0.0044	-0.0009	-0.0016	-0.0025	0.0015	-0.0019	0.0033	-0.0036	-0.0011
Candidatus Nealsonbacteria	0.0010	-0.0027	-0.0049	-0.0022	-0.0034	-0.0003	-0.0002	0.0004	0.0019	0.0010	-0.0017	0.0005	0.0021	-0.0014	0.0004	-0.0054	1.0000	0.0008	-0.0008	-0.0016	-0.0018	-0.0024	-0.0019	0.0005	-0.0015	-0.0018	-0.0034	-0.0012	0.0009	-0.0023	-0.0006	-0.0033	-0.0022	0.0018	-0.0023	-0.0002	0.0015	-0.0027	-0.0024	-0.0045	-0.0023	-0.0022	0.0015	0.0001	0.0017	-0.0024	-0.0043	0.0019	-0.0009	-0.0033	-0.0009	-0.0014	0.0008	-0.0012	-0.0006	-0.0028	0.0021	-0.0014	-0.0003	-0.0020	-0.0016	-0.0015	-0.0042	-0.0015	0.0053	0.0024	0.0043	-0.0010	-0.0025	-0.0034	0.0035	0.0002	-0.0012	-0.0015	0.0000	-0.0024	-0.0026	0.0012	0.0004	-0.0021	-0.0004	-0.0045	-0.0027	-0.0034	-0.0015	-0.0012	-0.0035	0.0004	-0.0033	-0.0034	0.0025	-0.0008	-0.0032	-0.0019	0.0011	-0.0013	-0.0023	-0.0023	0.0001
Candidatus Uhrbacteria	0.0026	-0.0027	0.0019	0.0000	-0.0050	0.0015	-0.0008	-0.0002	-0.0015	0.0003	-0.0025	-0.0017	0.0011	0.0049	-0.0051	-0.0016	0.0008	1.0000	-0.0045	0.0016	0.0017	-0.0021	-0.0002	-0.0063	-0.0015	0.0019	0.0011	-0.0024	-0.0027	-0.0009	-0.0018	-0.0027	-0.0026	0.0001	0.0000	-0.0005	-0.0040	0.0010	0.0032	-0.0019	-0.0044	-0.0025	-0.0047	0.0000	0.0007	0.0015	-0.0014	0.0008	-0.0004	-0.0007	0.0012	-0.0007	-0.0045	0.0004	0.0055	-0.0031	-0.0044	-0.0031	-0.0003	-0.0019	-0.0014	-0.0038	0.0038	-0.0008	-0.0004	0.0013	-0.0026	-0.0018	-0.0007	-0.0003	-0.0024	-0.0041	-0.0043	-0.0001	0.0003	-0.0029	0.0013	-0.0054	-0.0023	-0.0007	0.0028	0.0011	-0.0051	-0.0039	-0.0025	-0.0006	-0.0057	-0.0016	-0.0002	-0.0020	0.0005	0.0004	-0.0023	0.0002	-0.0038	0.0005	-0.0000	-0.0021	0.0031
Candidatus Moranbacteria	-0.0038	-0.0013	0.0024	-0.0010	-0.0018	-0.0011	-0.0047	-0.0008	0.0024	-0.0015	-0.0004	-0.0025	-0.0037	-0.0038	0.0012	0.0026	-0.0008	-0.0045	1.0000	0.0009	-0.0008	-0.0001	-0.0032	0.0007	-0.0014	0.0009	-0.0016	0.0019	-0.0023	0.0000	-0.0016	-0.0066	-0.0035	-0.0025	-0.0032	-0.0032	0.0039	-0.0056	-0.0002	-0.0026	-0.0005	-0.0040	-0.0004	-0.0036	-0.0010	-0.0001	-0.0010	-0.0027	0.0013	-0.0028	-0.0003	-0.0029	0.0026	-0.0032	-0.0035	-0.0043	-0.0002	0.0009	0.0017	0.0019	-0.0022	0.0003	-0.0008	0.0029	-0.0015	-0.0001	-0.0001	-0.0021	-0.0029	0.0012	-0.0016	-0.0015	-0.0012	-0.0046	0.0018	-0.0013	-0.0017	-0.0011	0.0015	0.0022	0.0001	0.0004	-0.0004	-0.0062	-0.0012	-0.0026	-0.0006	-0.0001	0.0014	-0.0021	-0.0005	0.0026	0.0017	0.0008	-0.0054	-0.0015	0.0022	-0.0003	0.0015
Candidatus Zambryskibacteria	0.0000	0.0036	-0.0049	0.0005	-0.0012	-0.0031	-0.0025	-0.0027	-0.0049	-0.0033	-0.0039	-0.0007	0.0004	0.0046	0.0001	-0.0016	-0.0016	0.0016	0.0009	1.0000	0.0019	-0.0018	-0.0049	0.0014	0.0038	-0.0051	-0.0037	-0.0017	0.0008	0.0031	-0.0019	0.0025	-0.0010	-0.0036	0.0012	0.0020	0.0005	0.0020	-0.0020	0.0000	-0.0006	-0.0067	0.0029	-0.0036	-0.0001	-0.0036	-0.0009	-0.0018	0.0005	-0.0013	0.0010	-0.0023	-0.0013	-0.0029	-0.0011	0.0006	-0.0045	-0.0012	0.0000	0.0007	0.0024	-0.0034	-0.0033	-0.0032	-0.0040	-0.0009	-0.0015	-0.0027	-0.0003	-0.0011	-0.0016	-0.0031	-0.0064	-0.0013	0.0001	-0.0022	-0.0027	0.0006	-0.0013	-0.0001	-0.0006	0.0017	-0.0000	0.0008	0.0018	-0.0017	-0.0011	-0.0005	-0.0003	-0.0001	-0.0005	0.0027	-0.0035	-0.0039	0.0019	-0.0014	-0.0019	-0.0018	-0.0009
