id,label,abundance,abundance (log10),abundance (%),std,sem,med,prevalence
0,Acidobacteriota,0.013633996753143113,-1.8653768137622506,1.3633996753143145,0.7896259044675651,0.0888398551374226,1.193252365075663,0.9873417721518988
1,Actinomycetota,0.15141470379514735,-0.8198319486997114,15.141470379514764,7.768004890066511,0.873968831614802,13.260038617645936,1.0
2,Aquificota,6.540574517944338e-05,-4.184384101979357,0.006540574517944356,0.006641040345722949,0.000747175414253447,0.005582163327293426,0.8481012658227848
3,Armatimonadota,0.0008824899473296262,-3.054290233072307,0.0882489947329628,0.062368563057701755,0.007017011569436203,0.08055918980471014,0.9620253164556962
4,Atribacterota,0.00025374626357011545,-3.5956003440455406,0.0253746263570116,0.06141078118437257,0.00690925268969531,0.0055366471162594105,0.8607594936708861
5,Bacillota,0.031578335128053574,-1.5006107705835587,3.157833512805364,5.120345483094757,0.5760838751591127,1.6675153642315426,1.0
6,Bacteroidota,0.04068255432465709,-1.3905917869617497,4.068255432465715,3.070256737623561,0.34543087082368745,3.038674033149173,1.0
7,Balneolota,3.273211483590493e-05,-4.485025933833703,0.003273211483590499,0.007105629156300911,0.0007994457392221346,0.002666038243366447,0.810126582278481
8,Bdellovibrionota,0.0004765334565646355,-3.3219066029137347,0.04765334565646366,0.029515899154395096,0.0033207981023562583,0.04334633723450011,0.8860759493670886
9,Caldisericota,3.3051110696825376e-05,-4.48081394127979,0.0033051110696825457,0.008199132874488804,0.0009224745195172165,0.0011029666651960427,0.7848101265822784
10,Calditrichota,0.0002142106886814306,-3.669158862544555,0.021421068868143107,0.041549049437367765,0.00467463328169597,0.007129598486176569,0.8607594936708861
11,Campylobacterota,0.0018138094546836367,-2.7414083386243204,0.18138094546836397,0.29860075151522353,0.03359520927371961,0.11634671320535027,1.0
12,Candidatus Abawacabacteria,8.355216376305757e-06,-5.0780422986348865,0.0008355216376305777,0.0006806458507345518,7.657864114769448e-05,0.0007617126346878332,0.7215189873417721
13,Candidatus Absconditabacteria,5.5559114037353157e-05,-4.255244688272012,0.005555911403735327,0.011802956052148246,0.001327936304943358,0.0015324809333830526,0.8481012658227848
14,Candidatus Adlerbacteria,2.4901255751288915e-05,-4.60377875121334,0.0024901255751288973,0.0035528964098838866,0.00039973207640038686,0.002193646709476077,0.810126582278481
15,Candidatus Aenigmarchaeota,1.2964312676860675e-06,-5.887250503079689,0.00012964312676860712,0.00022926133861581716,2.579391582267601e-05,5.01373764113672e-05,0.5443037974683544
16,Candidatus Altiarchaeota,2.6493397277749458e-06,-5.5768623480682376,0.0002649339727774954,0.000588229643154568,6.618100544792371e-05,0.00010532383636402713,0.6455696202531646
17,Candidatus Amesbacteria,3.049220450106514e-05,-4.515811176223719,0.003049220450106522,0.0024339735803521226,0.00027384342264277686,0.002616433239011085,0.8227848101265823
18,Candidatus Aminicenantes,0.006034296096219229,-2.21937338328945,0.6034296096219244,0.563298570773344,0.0633760406586011,0.44793130960069083,0.9620253164556962
19,Candidatus Andersenbacteria,1.5505521925030577e-05,-4.8095136105717184,0.001550552192503062,0.003741254920405446,0.0004209240645228122,0.0010502246048529921,0.7721518987341772
20,Candidatus Azambacteria,3.719321965452153e-05,-4.42953622503793,0.0037193219654521616,0.0038056688209896867,0.0004281711945426903,0.003174997638350526,0.8354430379746836
21,Candidatus Bathyarchaeota,0.00040657287596099266,-3.3908615981854315,0.04065728759609936,0.06988616871078074,0.007862808285857427,0.01165139893730003,0.8860759493670886
22,Candidatus Beckwithbacteria,3.628770497654588e-05,-4.440240497975802,0.0036287704976545967,0.005719254296310565,0.0006434663811098197,0.0026653311954571535,0.8354430379746836
23,Candidatus Berkelbacteria,5.7591412729879724e-05,-4.239642268001332,0.005759141272987986,0.005209521104068878,0.0005861169163806677,0.005011267333472589,0.8227848101265823
24,Candidatus Bipolaricaulota,0.00014721549287105432,-3.8320464826999787,0.01472154928710547,0.058945375312021334,0.0066318728579098755,0.003200734777374989,0.8227848101265823
