"samples","habitat","Pseudomonadota","Actinomycetota","Chloroflexota","Bacillota","Cyanobacteriota","Candidatus Melainabacteria","Candidatus Margulisbacteria","Deinococcota","Armatimonadota","Mycoplasmatota","Thermomicrobiota","Candidatus Kaiserbacteria","Candidatus Nomurabacteria","Candidatus Yanofskybacteria","Candidatus Azambacteria","Candidatus Falkowbacteria","Candidatus Magasanikbacteria","Candidatus Nealsonbacteria","Candidatus Uhrbacteria","Candidatus Giovannonibacteria","Candidatus Moranbacteria","Candidatus Zambryskibacteria","Candidatus Staskawiczbacteria","Candidatus Wolfebacteria","Candidatus Harrisonbacteria","Candidatus Taylorbacteria","Candidatus Buchananbacteria","Candidatus Portnoybacteria","Candidatus Adlerbacteria","Candidatus Sungbacteria","Candidatus Jorgensenbacteria","Candidatus Liptonbacteria","Candidatus Tagabacteria","Candidatus Ryanbacteria","Candidatus Wildermuthbacteria","Candidatus Komeilibacteria","Candidatus Kuenenbacteria","Candidatus Lloydbacteria","Candidatus Kerfeldbacteria","Candidatus Terrybacteria","Candidatus Yonathbacteria","Candidatus Niyogibacteria","Candidatus Campbellbacteria","Candidatus Colwellbacteria","Candidatus Vogelbacteria","Candidatus Spechtbacteria","Candidatus Brennerbacteria","Candidatus Andersenbacteria","Candidatus Jacksonbacteria","Candidatus Parcubacteria","Candidatus Veblenbacteria","Candidatus Woesebacteria","Candidatus Gottesmanbacteria","Candidatus Roizmanbacteria","Candidatus Levybacteria","Candidatus Daviesbacteria","Candidatus Curtissbacteria","Candidatus Shapirobacteria","Candidatus Beckwithbacteria","Candidatus Amesbacteria","Candidatus Chisholmbacteria","Candidatus Collierbacteria","Candidatus Woykebacteria","Candidatus Pacebacteria","Candidatus Blackburnbacteria","Candidatus Microgenomates","Candidatus Gracilibacteria","candidate division NC10","Candidatus Rokubacteria","Candidatus Handelsmanbacteria","Candidatus Schekmanbacteria","Candidatus Aminicenantes","Candidatus Glassbacteria","candidate division WWE3","Candidatus Peregrinibacteria","Candidatus Doudnabacteria","Candidatus Berkelbacteria","Candidatus Gribaldobacteria","Candidatus Saccharibacteria","Candidatus Eisenbacteria","Candidatus Desantisbacteria","Candidatus Edwardsbacteria","Candidatus Lindowbacteria","Candidatus Ratteibacteria","Candidatus Dadabacteria","Candidatus Firestonebacteria","Candidatus Raymondbacteria","Candidatus Riflebacteria","Candidatus Wallbacteria","candidate division CPR1","Candidatus Coatesbacteria","Candidatus Bipolaricaulota","Candidatus Blackallbacteria","candidate division CPR2","Candidatus Fraserbacteria","Candidatus Fischerbacteria","Candidatus Sumerlaeota","candidate division WOR-3","Candidatus Wirthbacteria","Candidatus Abawacabacteria","Candidatus Absconditabacteria","candidate division CPR3","Candidatus Delongbacteria","Candidatus Calescamantes","Planctomycetota","Candidatus Omnitrophica","Verrucomicrobiota","Lentisphaerota","Chlamydiota","Kiritimatiellota","Thermodesulfobacteriota","Nitrospirota","Campylobacterota","Bacteroidota","Ignavibacteriota","Chlorobiota","Balneolota","Gemmatimonadota","candidate division Zixibacteria","Candidatus Marinimicrobia","Candidatus Hydrogenedentes","Fibrobacterota","Candidatus Cloacimonetes","Elusimicrobiota","Acidobacteriota","Myxococcota","Nitrospinota","Candidatus Tectomicrobia","Spirochaetota","Bdellovibrionota","Synergistota","Caldisericota","Fusobacteriota","Thermotogota","Atribacterota","Chrysiogenota","Aquificota","Calditrichota","Deferribacterota","Dictyoglomota","Coprothermobacterota","Nitrososphaerota","Candidatus Bathyarchaeota","Thermoproteota","Candidatus Korarchaeota","Euryarchaeota","Candidatus Woesearchaeota","Nanoarchaeota","Candidatus Micrarchaeota","Candidatus Diapherotrites","Candidatus Altiarchaeota","Candidatus Aenigmarchaeota","Candidatus Huberarchaea","Candidatus Nanohaloarchaeota","Candidatus Thermoplasmatota","Candidatus Heimdallarchaeota","Candidatus Lokiarchaeota","Candidatus Odinarchaeota","Candidatus Thorarchaeota"
"mgm4440939","human-gut",0.0431261284498323,0.0490585504255868,0.00036110394635027,0.471085891152953,0.0006706216146505,0,0,0.00046427650245034,0.00010317255610007,0.00010317255610007,0,0,0,5.15862780500387e-05,0,0,5.15862780500387e-05,0,5.15862780500387e-05,0,0,0,5.15862780500387e-05,0,0,0,0,0,0,0,0,0,0,0,0,5.15862780500387e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010317255610007,0,0.00010317255610007,0.00015475883415011,0,5.15862780500387e-05,5.15862780500387e-05,5.15862780500387e-05,0,0,0.00010317255610007,0.00010317255610007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061903533660046,5.15862780500387e-05,0.00175393345370132,0.00010317255610007,5.15862780500387e-05,0,0.0086664947124065,0.00010317255610007,0.00041269022440031,0.417848852205313,0.00010317255610007,5.15862780500387e-05,0,0,5.15862780500387e-05,0,0,5.15862780500387e-05,0,0.00030951766830023,0.00025793139025019,0.00046427650245034,0,0,0.00092855300490069,0.00020634511220015,0.00030951766830023,0,0.00046427650245034,0,0,0,0,0,5.15862780500387e-05,5.15862780500387e-05,0,0,5.15862780500387e-05,0.00010317255610007,0,0.00087696672685065,0,0,0,0,0,5.15862780500387e-05,0,0,0,0,5.15862780500387e-05,0,0
"mgm4440940","human-gut",0.829251466022766,0.00388064849948258,0,0.15695067264574,8.62366333218351e-05,0,0,8.62366333218351e-05,0,8.62366333218351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002587098999655,0,0,0,0,0,8.62366333218351e-05,0,8.62366333218351e-05,0.00862366333218351,0,0,8.62366333218351e-05,0,0,8.62366333218351e-05,0,0,0,0,0,0,0,0,0.00017247326664367,8.62366333218351e-05,0,0,0,0,0,0,8.62366333218351e-05,0,0,0,0,0,0,0,0,8.62366333218351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"mgm4440941","human-gut",0.119909945184025,0.120693030540329,0.00107674236491778,0.543901722787784,0.0019087705559906,0,0,0.0004404855129209,4.89428347689898e-05,0.00048942834768989,4.89428347689898e-05,4.89428347689898e-05,0,4.89428347689898e-05,0,4.89428347689898e-05,0.00024471417384494,4.89428347689898e-05,0.00014682850430696,4.89428347689898e-05,9.78856695379796e-05,0,0,0,9.78856695379796e-05,0.00014682850430696,0,4.89428347689898e-05,0,0,0,0,0,0,0,0,4.89428347689898e-05,0,0,4.89428347689898e-05,0,0,4.89428347689898e-05,0,0,0,0,0,0,0,0,4.89428347689898e-05,9.78856695379796e-05,4.89428347689898e-05,4.89428347689898e-05,0,0,4.89428347689898e-05,4.89428347689898e-05,0,0,0,0,0,0,0,0,4.89428347689898e-05,4.89428347689898e-05,0,0,0.00014682850430696,0,0,0,0,0,0,0,0,0,4.89428347689898e-05,0,0,0,0,0,0,4.89428347689898e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00234925606891151,0.00029365700861393,0.00073414252153484,0.00039154267815191,0,0,0.0101311667971809,0.00058731401722787,0.00078308535630383,0.184074001566171,0.00024471417384494,0.00029365700861393,9.78856695379796e-05,0.00014682850430696,0,4.89428347689898e-05,0,0,0,0.00068519968676585,0.00048942834768989,0.00146828504306969,0,0,0.00156617071260767,4.89428347689898e-05,0.00151722787783868,0,0.00034259984338292,0.00014682850430696,0,4.89428347689898e-05,0.00014682850430696,0,4.89428347689898e-05,0,0,0,0,0.00014682850430696,0,0.00137039937353171,0,0,0,0,0,0,0,0,0.0014193422083007,0,0,0,0
"mgm4440942","human-gut",0.146132183402271,0.10648596321394,0.0004840271055179,0.458417671389598,0.00096805421103581,0.00013200739241397,4.40024641379917e-05,0.0004840271055179,8.80049282759835e-05,0.00022001232068995,4.40024641379917e-05,8.80049282759835e-05,4.40024641379917e-05,4.40024641379917e-05,0,4.40024641379917e-05,0,0,4.40024641379917e-05,4.40024641379917e-05,0,0,0,0,0,4.40024641379917e-05,8.80049282759835e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.40024641379917e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40024641379917e-05,0,0,0,0,0,0,0,0,0,0,8.80049282759835e-05,0,4.40024641379917e-05,4.40024641379917e-05,0,0,4.40024641379917e-05,0,0,0,4.40024641379917e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132007392413975,8.80049282759835e-05,0.00215612074276159,8.80049282759835e-05,0,4.40024641379917e-05,0.00844847311449441,0.00017600985655196,0.00057203203379389,0.267887001672094,4.40024641379917e-05,0.00017600985655196,0,8.80049282759835e-05,0,0,0,0,0,0.00044002464137991,0.00044002464137991,0.00096805421103581,0,0,0.00083604681862184,0.00013200739241397,0.00039602217724192,0,0.00017600985655196,8.80049282759835e-05,0,0,0,0,0,4.40024641379917e-05,0,4.40024641379917e-05,0,4.40024641379917e-05,0,0.00092405174689782,0,0,4.40024641379917e-05,0,0,0,0,0,4.40024641379917e-05,0,0,0,0
"mgm4440943","human-gut",0.059396729017726,0.143815493095681,0.0005386348056018,0.401919498579963,0.00039173440407403,4.89668005092547e-05,4.89668005092547e-05,0.00063656840662031,9.79336010185095e-05,0.00024483400254627,0,0,0,0,0,4.89668005092547e-05,0,4.89668005092547e-05,0,0,0,0,0,0,0,0,4.89668005092547e-05,0,0,0,0,0,0,0,0,0,0,0,4.89668005092547e-05,0,9.79336010185095e-05,0,0,0,0,0,0,0,0,0,0,0,4.89668005092547e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89668005092547e-05,0,0,0,0,0,0,4.89668005092547e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137107041425913,0.00019586720203701,0.00073450200763882,0.00019586720203701,0,0,0.0173342473802762,0.00029380080305552,0.00044070120458329,0.367495837821957,4.89668005092547e-05,4.89668005092547e-05,0,0.00014690040152776,0,0,0,0,0,0.00029380080305552,0.00019586720203701,0.00088140240916658,0,0,0.00097933601018509,9.79336010185095e-05,0.00048966800509254,0,9.79336010185095e-05,9.79336010185095e-05,0,0,0,9.79336010185095e-05,4.89668005092547e-05,0,0,0,0,4.89668005092547e-05,0,0.00068553520712956,0,0,0,0,0,0,0,0,0,4.89668005092547e-05,4.89668005092547e-05,0,0
"mgm4440944","human-gut",0.0583962479981698,0.173530084648822,0.00040036604895904,0.411404712880348,0.00068634179821551,0,0,0.00034317089910775,0.00017158544955387,0.00034317089910775,0,0,0,0,5.71951498512926e-05,5.71951498512926e-05,0,0,0,0,0,5.71951498512926e-05,5.71951498512926e-05,5.71951498512926e-05,5.71951498512926e-05,0,0,5.71951498512926e-05,0,5.71951498512926e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71951498512926e-05,5.71951498512926e-05,5.71951498512926e-05,0,0,0,0,0,0,0,0,0,0,0,5.71951498512926e-05,5.71951498512926e-05,0,0,0.00017158544955387,0,5.71951498512926e-05,0,5.71951498512926e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71951498512926e-05,0,0,0,0,0,0,0,0,0,0,0,0.00183024479524136,5.71951498512926e-05,0.0148707389613361,5.71951498512926e-05,0,5.71951498512926e-05,0.00320292839167239,5.71951498512926e-05,0.00045756119881034,0.33007320979181,5.71951498512926e-05,0.00011439029970258,0,0,0,0,0,5.71951498512926e-05,0,0.00040036604895904,0.00022878059940517,0.00051475634866163,5.71951498512926e-05,0,0.00051475634866163,0,5.71951498512926e-05,0,0.00040036604895904,0,0,5.71951498512926e-05,0,0,0,0,0,0,0,5.71951498512926e-05,0,0.00045756119881034,0,0,0,0,0,0,0,0,0,0,0,0,0
"mgm4440945","human-gut",0.0396925403225806,0.712953629032258,0,0.245463709677419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012600806451612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050403225806451,0,0,0,0,0,0.00012600806451612,0,0,0.00037802419354838,0,0,0,0,0,0,0,0,0,0,0.00025201612903225,0.00012600806451612,0,0,0.00012600806451612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025201612903225,0,0,0,0,0,0,0,0,0,0,0,0,0
"mgm4440946","human-gut",0.0260256941566515,0.0460008288437629,8.28843762950684e-05,0.344301699129714,0.00049730625777041,0,0,0.00016576875259013,0,0.00049730625777041,8.28843762950684e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28843762950684e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.28843762950684e-05,0,0,0,0,0,0,0,0,0,0,8.28843762950684e-05,0,0.00016576875259013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016576875259013,0,0.00016576875259013,0,0,0,0.0049730625777041,0,0.00074595938665561,0.552092830501451,8.28843762950684e-05,0,0,0,0,0,0,0,0,0,0.00016576875259013,8.28843762950684e-05,0,0,0.0002486531288852,0,0,0,0.0229589722337339,0,0,8.28843762950684e-05,0,0,0,0,0,0,0,0,0,8.28843762950684e-05,0,0,0,0,0,0,0,0,8.28843762950684e-05,0,0,0,0
"mgm4440947","human-gut",0.0439150401836969,0.082827620141053,0.00020501886173528,0.319460390355913,0.00028702640642939,8.20075446941119e-05,0,0.0003690339511235,0,8.20075446941119e-05,0,0,8.20075446941119e-05,0,0,0,4.10037723470559e-05,4.10037723470559e-05,4.10037723470559e-05,0,4.10037723470559e-05,0,8.20075446941119e-05,0,4.10037723470559e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10037723470559e-05,0,0,4.10037723470559e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.10037723470559e-05,4.10037723470559e-05,0,4.10037723470559e-05,8.20075446941119e-05,0,0,4.10037723470559e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10037723470559e-05,0,0,0,4.10037723470559e-05,0,0,0,0,0,0,0,0,0,0,0.00053304904051172,4.10037723470559e-05,0.00315729047072331,4.10037723470559e-05,4.10037723470559e-05,0,0.00405937346235854,0.00020501886173528,0.00032803017877644,0.540716745940627,0.00012301131704116,4.10037723470559e-05,0,4.10037723470559e-05,0,0,0,0,0,4.10037723470559e-05,0.0003690339511235,0.0003690339511235,0,0,0.00053304904051172,0.00012301131704116,0.00020501886173528,0,0.00024602263408233,0,4.10037723470559e-05,0,0,0,8.20075446941119e-05,0,0,0,0,8.20075446941119e-05,0,0.00057405281285878,0,0,0,0,0,0,0,0,0,0,0,0,0
"mgm4440948","human-gut",0.0287290278096989,0.102229372558033,0.00018386577798207,0.435440128706045,0.0005056308894507,0,0,0.00032176511146862,0,0.00027579866697311,0,0,4.59664444955183e-05,0,0,0,0,0,4.59664444955183e-05,4.59664444955183e-05,4.59664444955183e-05,0,0,0,0,0,4.59664444955183e-05,9.19328889910365e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59664444955183e-05,0,0,0,0,0,0,0,0,0,4.59664444955183e-05,4.59664444955183e-05,0,0,4.59664444955183e-05,0,0,0,0,0,0,4.59664444955183e-05,0,0,0,9.19328889910365e-05,0,0,0.00013789933348655,0,4.59664444955183e-05,0,0,0,0,0,0,4.59664444955183e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059756377844173,4.59664444955183e-05,0.00022983222247759,4.59664444955183e-05,9.19328889910365e-05,0,0.00248218800275799,0.00018386577798207,0.00022983222247759,0.423764651804183,0.00013789933348655,4.59664444955183e-05,0,0,0,0,0,0,0,0.00013789933348655,0.00018386577798207,0.00041369800045966,9.19328889910365e-05,0,0.00133302689037003,9.19328889910365e-05,0.00032176511146862,0,0.00027579866697311,9.19328889910365e-05,0,0,0,0,0,4.59664444955183e-05,0,4.59664444955183e-05,4.59664444955183e-05,0,0,0.00041369800045966,0,0,0,0,4.59664444955183e-05,0,0,0,4.59664444955183e-05,0,0,0,0
"mgm4440949","human-gut",0.26550079491256,0.232488543907229,9.35191246609932e-05,0.457308519592257,9.35191246609932e-05,9.35191246609932e-05,0,9.35191246609932e-05,9.35191246609932e-05,0,0,0,0,0,0,9.35191246609932e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35191246609932e-05,9.35191246609932e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028055737398298,0,0,0,0,0,0,9.35191246609932e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037407649864397,0,0.00149630599457589,0,0,0,0.00074815299728794,0,0.00028055737398298,0.0390909941082951,0,0,0,0,0,0,0,0,0,0,0.00018703824932198,0,0,0,0.00028055737398298,0,0,0,0.00046759562330496,0,0,0.00018703824932198,0,0,0,0,0,0,0,0,0,0.00018703824932198,9.35191246609932e-05,0,0,0,0,0,0,0,0.00018703824932198,0,0,0,0
"mgm4440950","human-gut",0.00936329588014981,0.600410201533797,0,0.387907972177635,8.91742464776173e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91742464776173e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91742464776173e-05,0,0.00017834849295523,0,0,0,8.91742464776173e-05,0,8.91742464776173e-05,0.00107009095773141,0,0,0,0,0,0,0,0,0,0,8.91742464776173e-05,0.00017834849295523,0,0,0,0,0,0,0,0.00017834849295523,0,0,0,0,0,0,0,0,0,0,0,0.00017834849295523,0,0,0,0,0,0,0,0,0,0,0,0,0
"mgm4524574","human-gut",0.00749758740999183,0.0125454680424616,0,0.363113354613614,0.00033405092420755,0,0,3.71167693563952e-05,0,7.42335387127904e-05,0,0,0,3.71167693563952e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71167693563952e-05,0,3.71167693563952e-05,3.71167693563952e-05,0,0,0,0,3.71167693563952e-05,0,0,0,0,0,0,0,0,0,0,0,7.42335387127904e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115061985004825,0,7.42335387127904e-05,0,0,0,0.00159602108232499,0,0.00033405092420755,0.605634325588301,0,0,0,0,0,0,0,0,0,3.71167693563952e-05,3.71167693563952e-05,0,0,0,7.42335387127904e-05,0,0,0,0.00708930294707149,3.71167693563952e-05,0,0,0,0,0,0,0,0,0,3.71167693563952e-05,0,0,0,0,0,0,0,0,0,0,3.71167693563952e-05,0,0,0,0
"mgm4525093","human-gut",0.52875175315568,0.138908368396447,0.00017531556802244,0.315743338008415,0.00046750818139317,0,0,0,0,0.00040906965871902,0,0,0,0,0,5.84385226741468e-05,0.00011687704534829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84385226741468e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84385226741468e-05,5.84385226741468e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84385226741468e-05,0,0,0,0.00017531556802244,0,5.84385226741468e-05,0,0,0,0,5.84385226741468e-05,0,0,0,0,0,0,0,5.84385226741468e-05,0,0,0,0,0,0,0,0,0,0,0.00356474988312295,0.00011687704534829,0.00064282374941561,0,0,0,0.00035063113604488,0,0.00029219261337073,0.00783076203833567,0.00011687704534829,0.00011687704534829,0,0,0,0,0,0,0,0.00017531556802244,5.84385226741468e-05,5.84385226741468e-05,0,0,0.00040906965871902,5.84385226741468e-05,0.00011687704534829,0,0.00040906965871902,0.00011687704534829,0.00011687704534829,0,0,0,0,0,0,0,0,0.00011687704534829,0,5.84385226741468e-05,0,0,0,0,0,5.84385226741468e-05,0,0,0,0,0,0,0
"mgm4525311","human-gut",0.0231758250757514,0.0282532143149619,0.00020473343706494,0.387928916550651,0.00049136024895585,0,0,0.00028662681189091,0,0.00012284006223896,0,0,0,0,0,0,8.18933748259766e-05,0,0,0,0,0,0,0,0,0,0,4.09466874129883e-05,0,0,0,0,0,0,0,4.09466874129883e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09466874129883e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09466874129883e-05,4.09466874129883e-05,0,4.09466874129883e-05,0,4.09466874129883e-05,0,0,0,8.18933748259766e-05,0,0,0,0,0,0,0,4.09466874129883e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126934730980264,0,0.00090082712308574,4.09466874129883e-05,8.18933748259766e-05,0,0.00532306936368848,0.00020473343706494,0.00040946687412988,0.548398984522152,8.18933748259766e-05,4.09466874129883e-05,0,0,0,0,0,0,0,0.00012284006223896,0.00024568012447793,0.00024568012447793,0,0,0.0003275734993039,0.00012284006223896,0.00028662681189091,0,0.00024568012447793,0,0,0,0,0,4.09466874129883e-05,4.09466874129883e-05,0,0,4.09466874129883e-05,4.09466874129883e-05,0,0.00049136024895585,0,0,0,0,0,0,0,0,0,0,4.09466874129883e-05,0,0
